company_name,typeOfBusiness,sector,regionsOfOperation,newRegionsTargeting,website
Game Art Brain,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,https://gameartbrain.com/
Seepia Games,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,https://www.seepia.com/
RAW iGaming,"Supplier (product, technology or service)","Casino & Games, Social","Europe, North America, Asia","North America, Latin America",
8888,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Lottery, Sports Betting",Europe,Europe,
SPINCRAFT,"Supplier (product, technology or service)",Casino & Games,"Europe, Latin America","Europe, North America, Latin America",
Moido Games,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Latin America","Europe, North America, Latin America",
VeliTech,"Supplier (product, technology or service)",Casino & Games,Africa,Africa,https://veligroup.com/
Unity Technologies,"Supplier (product, technology or service)",Casino & Games,"Europe, Africa, MENA (Middle East North Africa)","Africa, Latin America",https://www.unity.com/
Revolver Gaming,"Supplier (product, technology or service)","Casino & Games, Social","Europe, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",North America,http://www.revolvergaming.com/
Self Employed Entrepreneur,"Supplier (product, technology or service)",Casino & Games,"Europe, Australasia","Europe, North America, Asia, Australasia",
Double Coconut,"Supplier (product, technology or service)","Casino & Games, Lottery, Social","Europe, North America","Latin America, MENA (Middle East North Africa)",http://www.doublecoconut.com/
XR Casino,"Supplier (product, technology or service)",Casino & Games,Latin America,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",mailto:dan@xr.casino
Champion Game Provider,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",mailto:yuliia@champion.tm
PingCAP,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports, Hospitality, Coin-op/Amusements, Security/Cyber-security, Payments, Social","Europe, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
SapidBlue,"Supplier (product, technology or service)","Casino & Games, Bingo, Lottery, Sports Betting","Europe, North America, Asia, MENA (Middle East North Africa)","Europe, North America, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
8888,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Lottery, Sports Betting",Europe,Europe,
Vegas Kings,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Tribal","Europe, North America, Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.catiedistefano.com/
GAT EVENTS,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports, Hospitality, Coin-op/Amusements, Security/Cyber-security, Payments, Tribal, Social",Latin America,Latin America,
AVA Design,"Supplier (product, technology or service)",Casino & Games,Europe,"North America, Asia, Africa",
8888,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Europe,Europe,
Interamplify,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, North America, Latin America, MENA (Middle East North Africa)",Asia,
Gamzix,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,
8888,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Europe,Europe,
RavenTrack,"Supplier (product, technology or service)","Casino & Games, Poker","Europe, North America, Asia, Africa","Europe, North America, Asia",https://www.raventrack.com/
106 Dijital,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,"Europe, MENA (Middle East North Africa)",
1108 Limited,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
accentec UG,"Supplier (product, technology or service)",Casino & Games,"Europe, North America","Europe, North America",
12bet,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Asia,Europe,
Tornado Studios ltd.,"Supplier (product, technology or service)","Casino & Games, Social","Europe, North America","Europe, North America",https://tornado-studios.com/
Soderman Consulting EOOD,"Supplier (product, technology or service)",Casino & Games,Europe,"North America, Asia, Africa",
Bejoynd AB,"Supplier (product, technology or service)","Casino & Games, Poker, Lottery, Sports Betting, Esports","Europe, Latin America","Europe, Latin America",https://bejoynd.com/
Barbara Bang,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",Africa,https://barbarabang.com/
Blokotech,"Supplier (product, technology or service)","Casino & Games, Sports Betting",Latin America,"Europe, Latin America",https://www.blokotech.com/
Fast Track,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,
Gamebeat,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,
13aff,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
1SEC.BET,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Poker","Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)",MENA (Middle East North Africa),
1XBET,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
1xBet Serbia,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting, Esports",Europe,Europe,
Optimove,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",Australasia,
Veikkaus/Fennica Gaming,"Supplier (product, technology or service)","Casino & Games, Lottery","Europe, North America",Latin America,
22bet partners,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Asia, Africa, Latin America, Australasia",Latin America,
Mobinc,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.mobinc.com/
Clarion Gaming,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.clariongaming.com/
23.159.703/0001-62,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Poker, Sports Betting, Esports, Payments",Latin America,Europe,
2J,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Asia,Europe,
CHI Software,"Supplier (product, technology or service)","Casino & Games, Esports","Europe, North America",MENA (Middle East North Africa),https://chisw.com/
Red Chip Media,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa","Europe, Africa, MENA (Middle East North Africa)",https://redchipmedia.com/
Newton,"Supplier (product, technology or service)",Casino & Games,"Europe, Africa","Asia, Latin America",
2J,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Asia,Europe,
KOR Gaming,"Supplier (product, technology or service)",Casino & Games,Europe,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://korgaming.com/
2J,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Asia,Europe,https://2j.com/
2j.com,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Asia,"Europe, Latin America",
3XC Gaming Limited,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Poker",Africa,MENA (Middle East North Africa),
4ases Casino,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Latin America,Latin America,
4Bet,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, MENA (Middle East North Africa)",Latin America,
4Play Bet,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Poker, Sports Betting, Esports, Social",Latin America,"Asia, Latin America",
Supplier (product or service),"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa, Latin America",Latin America,https://www.betsolutions.com/
Samegrid,"Supplier (product, technology or service)","Casino & Games, Poker, Sports Betting","Europe, Latin America","Europe, Latin America",
